Name Of Show,Year Of Release,Ranking Change_Jump,Change,Users_count,Rating
Vikings,2013,1,up,313313,8.6
Game of Thrones,2011,2,up,1383144,9.5
The Walking Dead,2010,2,down,762984,8.4
The Last Kingdom,2015,1,down,44260,8.3
The Flash,2014,2,up,263102,7.9
Titans,2018,0,no change,12433,8.3
The Marvelous Mrs. Maisel,2017,69,up,30234,8.7
The Big Bang Theory,2007,2,up,621583,8.2
Arrow,2012,4,up,368252,7.7
Narcos: Mexico,2018,5,down,16395,8.6
Chilling Adventures of Sabrina,2018,7,up,29359,7.8
Riverdale,2016,1,down,72619,7.5
Nightflyers,2018,261,up,1746,6.4
The Good Doctor,2017,7,up,37355,8.3
Doctor Who,2005,0,no change,178930,8.7
Outlander,2014,2,down,84621,8.5
Supernatural,2005,0,no change,341305,8.5
Grey's Anatomy,2005,9,down,202376,7.6
Dirty John,2018,0,no change,568,6.8
The Haunting of Hill House,2018,12,down,84125,8.8
The Office,2005,3,up,273497,8.8
American Horror Story,2011,10,down,241966,8.1
Friends,1994,10,up,631531,8.9
Supergirl,2015,12,up,90307,6.5
Black Mirror,2011,5,up,269019,8.9
Criminal Minds,2005,3,up,132803,8.1
Ray Donovan,2013,4,up,64542,8.3
This Is Us,2016,12,down,68445,8.7
Legends of Tomorrow,2016,11,up,75429,6.9
F Is for Family,2015,150,up,18675,8.0
The Sinner,2017,6,down,46718,8.0
Baby,2018,167,up,1548,7.0
Law & Order: Special Victims Unit,1999,5,up,65208,8.0
The Good Place,2016,10,up,44739,8.1
Shameless,2011,3,down,160542,8.7
Peaky Blinders,2013,1,up,164013,8.8
Legacies,2018,9,up,4105,7.4
The Gifted,2017,7,up,23674,7.6
Frontier,2016,19,down,10782,7.3
Escape at Dannemora,2018,1,up,1498,8.2
Manifest,2018,15,down,8363,7.4
Lethal Weapon,2016,1,up,30266,8.0
Sick Note,2017,21,down,2347,6.9
NCIS: Naval Criminal Investigative Service,2003,5,up,103415,7.9
The Rookie,2018,3,down,4278,8.0
Modern Family,2009,2,up,300994,8.4
Bodyguard,2018,13,down,38253,8.2
South Park,1997,3,up,291455,8.7
Brooklyn Nine-Nine,2013,3,up,122809,8.4
Narcos,2015,15,down,273061,8.8
Daredevil,2015,24,down,314191,8.7
Blindspot,2015,10,up,57761,7.5
1983,2018,134,up,1601,7.3
9-1-1,2018,31,down,10438,7.5
Stranger Things,2016,2,down,538037,8.9
The Kominsky Method,2018,28,down,4985,8.3
House of Cards,2013,18,down,416726,8.9
The Ranch,2016,89,up,24293,7.6
Chicago P.D.,2014,15,up,20936,8.1
Ozark,2017,4,down,92615,8.4
Breaking Bad,2008,0,no change,1138850,9.5
Chicago Fire,2012,21,up,29235,7.9
Hawaii Five-0,2010,16,up,59526,7.4
Homecoming,2018,17,down,6542,7.7
The Handmaid's Tale,2017,7,down,99010,8.6
FBI,2018,37,up,3161,6.3
Westworld,2016,0,no change,317286,8.8
The Simpsons,1989,5,down,322992,8.7
The 100,2014,1,down,165209,7.8
The Little Drummer Girl,2018,20,down,2729,7.4
Young Sheldon,2017,20,up,19636,7.2
Suits,2011,6,down,314509,8.6
How to Get Away with Murder,2014,13,down,98113,8.2
Killing Eve,2018,104,up,22119,8.3
Blue Bloods,2010,26,up,27632,7.5
Mrs. Wilson,2018,13,up,605,7.6
Big Mouth,2017,7,down,29759,8.1
La casa de papel,2017,7,down,104375,8.6
Gotham,2014,7,down,184479,7.9
The Blacklist,2013,5,down,147869,8.1
The Resident,2018,24,down,10800,7.3
Bob's Burgers,2011,6,up,53454,8.1
Life-Size 2,2018,273,up,412,5.3
The Vampire Diaries,2009,0,no change,256228,7.7
True Detective,2014,20,down,416847,9.0
Rick and Morty,2013,0,no change,241962,9.3
Lucifer,2015,9,down,125224,8.2
Luther,2010,8,up,95591,8.5
Midnight, Texas,2017,43,up,9594,7.5
The Man in the High Castle,2015,9,down,62147,8.1
Jack Ryan,2018,4,down,37224,8.2
Sherlock,2010,7,up,672725,9.2
NCIS: Los Angeles,2009,24,down,43298,6.7
Mr. Robot,2015,17,down,266773,8.6
It's Always Sunny in Philadelphia,2005,15,down,165318,8.7
Fargo,2014,6,down,257029,9.0
Agents of S.H.I.E.L.D.,2013,8,up,177424,7.5
Designated Survivor,2016,13,down,53579,7.7
A Million Little Things,2018,7,up,3101,7.7
How I Met Your Mother,2005,3,down,522950,8.3
